date,real,fit,predict
2023/5/8 0:00,5,,
2023/5/8 1:00,2,1.8654,
2023/5/8 2:00,2,4.3578,
2023/5/8 3:00,3,1.8654,
2023/5/8 4:00,7,4.7653,
2023/5/8 5:00,14,21.7553,
2023/5/8 6:00,43,37.7543,
2023/5/8 7:00,44,56.6442,
2023/5/8 8:00,54,49.6432,
2023/5/8 9:00,66,68.6632,
2023/5/8 10:00,48,57.7437,
2023/5/8 11:00,47,38.759,
2023/5/8 12:00,54,31.3563,
2023/5/8 13:00,78,61.2467,
2023/5/8 14:00,99,75.3563,
2023/5/8 15:00,114,99.4563,
2023/5/8 16:00,123,109.3467,
2023/5/8 17:00,110,100.7543,
2023/5/8 18:00,122,103.5638,
2023/5/8 19:00,117,110.3563,
2023/5/8 20:00,120,117.3563,
2023/5/8 21:00,107,104.4567,
2023/5/8 22:00,103,105.2454,
2023/5/8 23:00,99,95.4537,
2023/5/9 0:00,106,91.4256,
2023/5/9 1:00,61,55.6332,
2023/5/9 2:00,20,27.6643,
2023/5/9 3:00,5,11.6432,
2023/5/9 4:00,2,1.8654,
2023/5/9 5:00,2,4.3578,
2023/5/9 6:00,3,1.8654,
2023/5/9 7:00,7,4.7653,
2023/5/9 8:00,6,10.2764,
2023/5/9 9:00,7,9.2548,
2023/5/9 10:00,6,7.8635,
2023/5/9 11:00,10,10.3864,
2023/5/9 12:00,13,19.3563,
2023/5/9 13:00,16,24.7437,
2023/5/9 14:00,,,25.3452
2023/5/9 15:00,,,26.3452
2023/5/9 16:00,,,28.3452
2023/5/9 17:00,,,30.6442
